Timestamp,Temperature,Soil,Humidity
22:16:37,20.00,30.00,30.00
22:17:08,32.01,25.14,52.82
22:17:28,29.84,55.28,46.20
22:17:31,17.16,21.28,39.96
22:17:34,19.49,21.39,50.34
22:17:37,33.73,64.66,58.98
22:17:40,39.82,34.52,33.58
22:17:43,30.68,32.27,51.25
22:17:46,35.89,21.94,78.33
22:17:49,35.82,65.61,51.61
22:17:52,19.48,60.24,56.90
22:17:55,30.47,47.33,32.76
22:17:58,22.34,64.94,53.30
22:18:01,23.82,28.31,52.67
22:18:04,36.79,31.68,48.19
22:18:07,34.41,74.86,46.10
22:18:10,24.93,59.18,54.22
22:18:13,29.01,72.10,44.17
22:18:16,23.79,73.32,57.63
22:18:19,26.36,55.79,45.17
22:18:22,32.01,34.91,58.78
22:18:25,35.27,21.35,41.38
22:18:28,24.17,58.43,60.55
22:18:31,17.43,59.43,44.36
22:18:34,16.76,65.73,64.70
22:18:37,16.90,38.72,51.03
22:18:40,16.29,41.33,78.39
22:18:43,16.23,45.56,67.28
22:18:46,18.47,43.24,68.08
22:18:49,21.05,46.71,77.87
22:18:52,38.29,53.92,77.72
22:18:55,30.69,45.59,70.89
22:18:58,38.17,69.78,50.68
22:19:01,33.63,55.69,76.79
22:19:04,24.74,68.76,56.47
22:19:07,17.39,33.45,43.09
22:19:10,30.43,68.59,44.37
22:19:13,23.63,35.88,78.72
22:19:16,28.38,49.09,37.34
22:19:19,34.99,47.70,47.44
22:19:22,34.81,46.08,34.53
22:19:25,20.16,69.21,56.85
22:19:28,26.34,77.33,39.31
22:19:31,37.08,64.93,47.79
22:19:31,18.17,26.88,76.89
22:19:34,28.93,39.33,65.89
22:19:37,15.78,26.02,36.85
22:19:40,18.12,43.39,66.05
22:19:43,19.26,27.10,41.22
22:19:46,16.88,73.47,42.04
22:19:49,37.15,22.31,52.30
22:19:52,38.98,25.82,31.72
22:19:55,21.69,44.53,65.78
22:19:58,22.81,72.83,59.80
